unit,income,employment,innovation,pollution,debt,service
region_01,67.41811487520197,66.65107331972668,52.461900559936716,28.0662842795386,39.42936825459268,61.94129981715042
region_02,67.6626079320788,73.81717429960989,50.08867262925802,43.30646889469958,44.549985193013924,66.05711473020415
region_03,57.89465977534631,76.49516552786929,52.215749988326806,33.19354673764977,37.13997374239551,78.03174890836569
region_04,53.98633368560206,78.69378482488723,66.90941023030898,41.439158325710736,28.956484079813386,55.748208106773475
region_05,68.32062650942743,78.21312420614942,46.10752473504032,28.607212959283174,46.4880006724456,67.48998350467188
region_06,65.36770058919929,71.37402979845386,65.30540946414577,39.465063215112636,57.260458126730136,60.03998386210285
region_07,55.80240450185627,64.32633833855289,59.912611482946446,36.16622689085298,37.80604904368498,76.98985279523977
region_08,53.709836521990184,76.42590839028566,41.822491843314616,43.652684976635335,42.49662568103489,61.48299988551766
region_09,67.45916683897472,65.86186181395107,39.666725266141384,37.63538628285796,65.39400561145335,64.93931367263367
region_10,68.39201222671548,71.18758984824501,47.25503803342113,41.306986552754836,45.97807556888959,59.85931065503262
region_11,61.57425151732204,65.87931078588738,58.65686007406065,37.6907191722516,41.499628227820175,56.62653629345155
region_12,61.64068192612105,76.3014111276295,58.76029485058033,27.25713042991399,48.21009178574007,60.33846414847793
